Gene_ID	L_FPKM	R_FPKM	F_FPKM	S_FPKM
AT1G01720	34.0562	33.6704	28.1936	22.1233
AT5G61380	15.271	81.6544	11.2777	20.5582
AT1G24260	4.89223	0	178.193	185.894
AT1G69120	0.053851	0.00832391	77.7892	1.82402
AT1G77080	53.5616	63.9851	74.4787	59.2813
AT4G18960	0.0789749	0	41.9001	30.0072
AT2G22540	69.7441	27.7857	8.43077	2.0863
AT2G45660	61.0944	12.8649	34.4333	4.25792
AT3G54340	0.034977	0.11782	119.778	78.9701
AT5G20240	0.51679	0.908601	240.893	2.88693
AT5G61850	0.0831286	0.0036537	1.3896	0.0176105
AT1G09530	11.6876	1.96985	7.94542	3.28594
AT2G43010	90.932	1.48373	6.34649	11.3038
AT3G59060	112.135	1.66004	18.1656	23.7421
AT3G22170	25.6743	25.8851	25.6308	18.7703
AT5G60690	11.2711	24.7279	31.8725	27.8783
AT5G16560	9.18033	14.9218	10.7841	10.9548
AT5G07310	0.0141635	0.196748	0.0277079	0.00713492
AT2G27040	18.6609	17.6637	56.0985	39.5865
AT2G16910	0.110139	0.201006	29.4817	0.0597678
AT4G36920	9.0921	23.7952	20.295	24.9572
AT1G68480	0.807321	0	4.2661	0.299932
AT2G43060	15.6219	18.9983	4.35491	54.0573
AT2G43340	23.1285	39.6801	34.9288	21.1097
AT2G42280	10.4565	17.74	2.26728	2.89012
AT2G42870	27.498	4.87306	9.37192	3.57799
AT2G42620	20.6928	13.9741	16.9788	14.619
AT3G46620	32.6087	32.8468	14.9458	12.4883
AT1G67590	20.0517	14.7599	24.2224	6.09519
AT1G68020	27.3137	18.276	34.2252	26.0433
AT1G69010	17.3969	14.6265	21.073	12.4567
AT1G69270	8.76562	11.55	9.20549	7.35096
AT1G68560	173.093	86.7147	201.549	116.353
AT3G21700	6.47331	12.2358	52.3759	8.38915
AT5G17760	2.46362	7.94241	14.3576	17.6564
AT4G36730	43.4886	38.9259	36.2689	27.2969
AT4G36010	2.7134	5.19899	11.0046	12.4465
AT3G53380	9.50216	5.64992	12.575	6.38678
AT5G20240	0.51679	0.908601	240.893	2.88693
AT1G67340	18.3622	30.8018	16.4849	7.51532
AT3G04500	22.8773	31.3937	35.6719	29.4952
AT3G04510	0.338565	0.00898072	0.109639	0.0626966
AT4G29080	10.9861	29.9753	30.0301	67.513
AT1G55110	18.8907	9.44367	35.4048	12.3307
AT1G55120	3.94128	5.77652	19.9317	24.8088
AT3G17330	10.3107	11.8238	13.1479	10.9205
AT3G17340	10.387	15.8867	11.8746	10.3649
AT1G25560	65.5985	28.9871	4.00532	3.46723
AT1G70370	45.9524	36.7255	139.97	64.3235
AT4G18960	0.0789749	0.0089897	41.9001	30.0072
AT5G28490	3.8027	0.721276	1.79298	1.52144
AT2G45660	61.0944	12.8649	34.4333	4.25792
AT1G24260	4.89223	0.0091987	178.193	185.894
AT3G53390	9.91406	15.5705	12.5266	12.9757
AT4G19950	1.91177	5.13684	3.97048	4.29698
AT4G19960	9.79551	7.05679	10.3312	9.57759
AT4G19970	0.656668	1.81963	3.75109	2.64218
AT4G19990	5.62885	11.4581	6.12665	5.30002
AT4G20000	0.886558	4.49459	0.47098	0.0264398
AT4G20010	19.7903	8.88007	14.7275	11.3173
AT4G20030	18.1435	7.90401	12.0154	9.2048
AT4G20070	35.1019	17.7823	7.47908	9.61847
ATCG00490	13.4075	0.377366	18.5354	46.4619
ATCG00500	0.220986	0.256464	0.23214	0.716934
ATCG00710	2.13543	0.0730816	1.50985	6.87284
ATCG00720	2.00493	0.191663	1.73413	9.01527
ATCG00730	6.39697	1.17118	2.89732	0.809476
ATCG00860	0.112711	0.0375204	0.119721	0.271365
ATCG00870	0.240745	0.0380601	0.157389	0.381244
ATCG00420	2.40193	0.0845012	1.43635	2.01909
ATCG00430	3.02143	0.0978405	1.30344	2.89839
ATCG00440	1.68267	0.138584	0.751189	2.30494
ATCG01270	0.240745	0.0380601	0.157389	0.381244
ATCG01280	0.152474	0.052301	0.181171	0.375852
ATCG00130	4.93521	0.257512	3.12452	4.96327
AT1G01010	2.36246	19.8277	5.56467	1.92917
AT1G01040	10.1305	10.4274	11.5083	9.64623
AT1G01046	5.05594	5.19001	5.37345	3.46496
AT1G01290	10.4437	11.4201	16.1199	13.2617
AT1G01300	21.8767	25.8123	63.7341	43.7488
AT1G01305	0.0103558	0.0202325	4.5153	0.58825
AT1G01310	0.0106909	0.0583383	30.2114	3.1313
AT1G01350	12.9707	18.3278	16.3292	14.0227
AT1G01355	0.159331	0.0750387	0.71259	0.433731
AT1G01360	9.83975	21.6146	15.2406	13.0125
AT1G01370	4.41594	6.00495	12.288	6.24505
AT1G01380	1.0968	2.1933	0.863784	0.639852
AT1G01550	118.339	166.704	102.375	90.8676
AT1G01560	0.577638	0.560743	1.70092	0.706264
AT1G01570	1.18314	1.98724	4.22035	1.74544
AT1G01580	0.546485	141.113	3.80261	0.0862652
AT1G01590	0.132412	0.00728953	5.04318	5.19635
AT1G01600	1.88916	2.43463	28.3453	10.9276
AT1G01630	35.1784	32.4173	55.2483	26.6277
AT1G01690	6.02139	7.42315	10.7164	5.39157
AT1G01695	0.167557	0.196828	0.783523	0.794488
AT1G01710	20.2641	18.4254	30.5013	32.7722
AT1G01720	34.0562	33.6704	28.1936	22.1233
AT1G01730	16.7514	32.5013	20.7365	20.4331
AT1G01750	0.820421	33.4873	3.70071	1.27686
