Target Gene ID	TF Name	Description	GEO ID
AT1G02065	AGAMOUS	squamosa promoter binding protein-like 8	GSE4593
AT1G02610	AGAMOUS	RING/FYVE/PHD zinc finger superfamily protein	GSE4593
AT1G03870	AGAMOUS	FASCICLIN-like arabinoogalactan 9	GSE4593
AT1G05100	AGAMOUS	mitogen-activated protein kinase kinase kinase 18	GSE4593
AT1G05370	AGAMOUS	Sec14p-like phosphatidylinositol transfer family protein	GSE4593
AT1G07650	AGAMOUS	Leucine-rich repeat transmembrane protein kinase	GSE4593
AT1G09480	AGAMOUS	NAD(P)-binding Rossmann-fold superfamily protein	GSE4593
AT1G10220	AGAMOUS		GSE4593
AT1G10230	AGAMOUS	SKP1-like 18	GSE4593
AT1G10745	AGAMOUS	Maternally expressed gene (MEG) family protein	GSE4593
AT1G12423	AGAMOUS		GSE4593
AT1G14720	AGAMOUS	xyloglucan endotransglucosylase/hydrolase 28	GSE4593
AT1G14770	AGAMOUS	RING/FYVE/PHD zinc finger superfamily protein	GSE4593
AT1G15110	AGAMOUS	phosphatidyl serine synthase family protein	GSE4593
AT1G15120	AGAMOUS	Ubiquinol-cytochrome C reductase hinge protein	GSE4593
AT1G16070	AGAMOUS	tubby like protein 8	GSE4593
AT1G16080	AGAMOUS		GSE4593
AT1G18075	AGAMOUS	MIR159/MIR159B; miRNA	GSE4593
AT1G19330	AGAMOUS		GSE4593
AT1G19920	AGAMOUS	Pseudouridine synthase/archaeosine transglycosylase-like family protein	GSE4593
AT1G19930	AGAMOUS	Galactose oxidase/kelch repeat superfamily protein	GSE4593
AT1G21738	AGAMOUS		GSE4593
AT1G22460	AGAMOUS	O-fucosyltransferase family protein	GSE4593
AT1G24260	AGAMOUS	K-box region and MADS-box transcription factor family protein	GSE4593
AT1G24625	AGAMOUS	zinc finger protein 7	GSE4593
AT1G26590	AGAMOUS	C2H2-like zinc finger protein	GSE4593
AT1G26600	AGAMOUS	CLAVATA3/ESR-RELATED 9	GSE4593
AT1G26773	AGAMOUS		GSE4593
AT1G26780	AGAMOUS	myb domain protein 117	GSE4593
AT1G27565	AGAMOUS		GSE4593
AT1G27580	AGAMOUS	Protein of unknown function (DUF295)	GSE4593
AT1G28050	AGAMOUS	B-box type zinc finger protein with CCT domain	GSE4593
AT1G28440	AGAMOUS	HAESA-like 1	GSE4593
AT1G29630	AGAMOUS	5'-3' exonuclease family protein	GSE4593
AT1G31760	AGAMOUS	SWIB/MDM2 domain superfamily protein	GSE4593
AT1G33240	AGAMOUS	GT-2-like 1	GSE4593
AT1G47740	AGAMOUS	PPPDE putative thiol peptidase family protein	GSE4593
AT1G55690	AGAMOUS	Sec14p-like phosphatidylinositol transfer family protein	GSE4593
AT1G56555	AGAMOUS		GSE4593
AT1G56560	AGAMOUS	Plant neutral invertase family protein	GSE4593
AT1G67720	AGAMOUS	Leucine-rich repeat protein kinase family protein	GSE4593
AT1G67730	AGAMOUS	beta-ketoacyl reductase 1	GSE4593
AT1G69130	AGAMOUS	pre-tRNA	GSE4593
AT1G70895	AGAMOUS	CLAVATA3/ESR-RELATED 17	GSE4593
AT1G72175	AGAMOUS	RING/U-box protein with domain of unknown function (DUF 1232)	GSE4593
AT1G72500	AGAMOUS		GSE4593
AT1G73066	AGAMOUS	Leucine-rich repeat family protein	GSE4593
AT1G74330	AGAMOUS	Protein kinase superfamily protein	GSE4593
AT1G74430	AGAMOUS	myb domain protein 95	GSE4593
AT1G74510	AGAMOUS	Galactose oxidase/kelch repeat superfamily protein	GSE4593
AT1G75820	AGAMOUS	Leucine-rich receptor-like protein kinase family protein	GSE4593
AT1G79690	AGAMOUS	nudix hydrolase homolog 3	GSE4593
AT2G02080	AGAMOUS	indeterminate(ID)-domain 4	GSE4593
AT2G03040	AGAMOUS	emp24/gp25L/p24 family/GOLD family protein	GSE4593
AT2G03290	AGAMOUS	emp24/gp25L/p24 family/GOLD family protein	GSE4593
AT2G07981	AGAMOUS		GSE4593
AT2G18510	AGAMOUS	RNA-binding (RRM/RBD/RNP motifs) family protein	GSE4593
AT2G19450	AGAMOUS	membrane bound O-acyl transferase (MBOAT) family protein	GSE4593
AT2G19460	AGAMOUS	Protein of unknown function (DUF3511)	GSE4593
AT2G20130	AGAMOUS	like COV 1	GSE4593
AT2G20140	AGAMOUS	AAA-type ATPase family protein	GSE4593
AT2G23170	AGAMOUS	Auxin-responsive GH3 family protein	GSE4593
AT2G23171	AGAMOUS		GSE4593
AT2G26280	AGAMOUS	CTC-interacting domain 7	GSE4593
AT2G26520	AGAMOUS		GSE4593
AT2G30370	AGAMOUS	allergen-related	GSE4593
AT2G31150	AGAMOUS	ATP binding;ATPases, coupled to transmembrane movement of ions, phosphorylative mechanism	GSE4593
