Target Gene ID	TF Name	Description	GEO ID
AT1G01070	TOC1	nodulin MtN21 /EamA-like transporter family protein	GSE35952
AT1G01430	TOC1	TRICHOME BIREFRINGENCE-LIKE 25	GSE35952
AT1G01520	TOC1	Homeodomain-like superfamily protein	GSE35952
AT1G02065	TOC1	squamosa promoter binding protein-like 8	GSE35952
AT1G02350	TOC1	protoporphyrinogen oxidase-related	GSE35952
AT1G02400	TOC1	gibberellin 2-oxidase 6	GSE35952
AT1G04990	TOC1	Zinc finger C-x8-C-x5-C-x3-H type family protein	GSE35952
AT1G06050	TOC1	Protein of unknown function (DUF1336)	GSE35952
AT1G06580	TOC1	Pentatricopeptide repeat (PPR) superfamily protein	GSE35952
AT1G07010	TOC1	Calcineurin-like metallo-phosphoesterase superfamily protein	GSE35952
AT1G07890	TOC1	ascorbate peroxidase 1	GSE35952
AT1G09080	TOC1	Heat shock protein 70 (Hsp 70) family protein	GSE35952
AT1G09260	TOC1	Chaperone DnaJ-domain superfamily protein	GSE35952
AT1G09350	TOC1	galactinol synthase 3	GSE35952
AT1G09520	TOC1		GSE35952
AT1G09960	TOC1	sucrose transporter 4	GSE35952
AT1G10030	TOC1	homolog of yeast ergosterol28	GSE35952
AT1G10970	TOC1	zinc transporter 4 precursor	GSE35952
AT1G13080	TOC1	cytochrome P450, family 71, subfamily B, polypeptide 2	GSE35952
AT1G15350	TOC1		GSE35952
AT1G17230	TOC1	Leucine-rich receptor-like protein kinase family protein	GSE35952
AT1G17420	TOC1	lipoxygenase 3	GSE35952
AT1G17620	TOC1	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	GSE35952
AT1G18210	TOC1	Calcium-binding EF-hand family protein	GSE35952
AT1G18300	TOC1	nudix hydrolase homolog 4	GSE35952
AT1G18740	TOC1	Protein of unknown function (DUF793)	GSE35952
AT1G19000	TOC1	Homeodomain-like superfamily protein	GSE35952
AT1G19190	TOC1	alpha/beta-Hydrolases superfamily protein	GSE35952
AT1G19220	TOC1	auxin response factor 19	GSE35952
AT1G19500	TOC1		GSE35952
AT1G19880	TOC1	Regulator of chromosome condensation (RCC1) family protein	GSE35952
AT1G20890	TOC1		GSE35952
AT1G20980	TOC1	squamosa promoter binding protein-like 14	GSE35952
AT1G21310	TOC1	extensin 3	GSE35952
AT1G21600	TOC1	plastid transcriptionally active 6	GSE35952
AT1G22760	TOC1	poly(A) binding protein 3	GSE35952
AT1G22770	TOC1	gigantea protein (GI)	GSE35952
AT1G22830	TOC1	Tetratricopeptide repeat (TPR)-like superfamily protein	GSE35952
AT1G25400	TOC1		GSE35952
AT1G28360	TOC1	ERF domain protein 12	GSE35952
AT1G29630	TOC1	5'-3' exonuclease family protein	GSE35952
AT1G31420	TOC1	Leucine-rich repeat protein kinase family protein	GSE35952
AT1G32700	TOC1	PLATZ transcription factor family protein	GSE35952
AT1G32920	TOC1		GSE35952
AT1G32928	TOC1		GSE35952
AT1G33590	TOC1	Leucine-rich repeat (LRR) family protein	GSE35952
AT1G56660	TOC1		GSE35952
AT1G60950	TOC1	2Fe-2S ferredoxin-like superfamily protein	GSE35952
AT1G62181	TOC1		GSE35952
AT1G62870	TOC1		GSE35952
AT1G64035	TOC1		GSE35952
AT1G68020	TOC1	UDP-Glycosyltransferase / trehalose-phosphatase family protein	GSE35952
AT1G68845	TOC1		GSE35952
AT1G69260	TOC1	ABI five binding protein	GSE35952
AT1G70580	TOC1	alanine-2-oxoglutarate aminotransferase 2	GSE35952
AT1G70700	TOC1	TIFY domain/Divergent CCT motif family protein	GSE35952
AT1G71040	TOC1	Cupredoxin superfamily protein	GSE35952
AT1G72520	TOC1	PLAT/LH2 domain-containing lipoxygenase family protein	GSE35952
AT1G73010	TOC1	phosphate starvation-induced gene 2	GSE35952
AT1G73060	TOC1	Low  PSII Accumulation 3	GSE35952
AT1G73390	TOC1	Endosomal targeting BRO1-like domain-containing protein	GSE35952
AT1G73480	TOC1	alpha/beta-Hydrolases superfamily protein	GSE35952
AT1G73540	TOC1	nudix hydrolase homolog 21	GSE35952
AT1G73670	TOC1	MAP kinase 15	GSE35952
AT1G74450	TOC1	Protein of unknown function (DUF793)	GSE35952
AT1G74940	TOC1	Protein of unknown function (DUF581)	GSE35952
AT1G75080	TOC1	Brassinosteroid signalling positive regulator (BZR1) family protein	GSE35952
AT1G75450	TOC1	cytokinin oxidase 5	GSE35952
