Gene_id	log2(7h+DEX/7h-DEX)	log2(25h+DEX/25h-DEX)	log2(gdu1-1D/WT)	log2(GDU2/WT)	log2(GDU5/WT)	log2(GDU6/WT)
AT1G01710	-0.0030446	0.106093	0.0779279	0.167213	0.00417327	0.225967
AT1G06060	0.023142	-0.125326	0.184788	0.144717	0.0497504	0.298426
AT1G06410	-8.21E-05	-0.145777	0.280102	0.15179	0.0695872	0.336793
AT1G08460	0.231081	0.173722	0.437889	0.23885	0.223908	0.567391
AT1G08680	0.101696	-0.0263976	-0.00613654	-0.0523699	0.105954	0.190175
AT1G08720	0.128528	0.17118	0.368328	0.233333	0.3051	0.450448
AT1G13190	0.0173412	-0.023051	0.119012	0.105583	0.168182	0.378702
AT1G15920	0.0559804	0.0836837	0.0462581	0.160611	0.218608	0.396257
AT1G17120	0.054509	-0.0807144	0.0459104	0.015679	-0.00974018	0.191408
AT1G18160	0.0556907	0.0984311	0.201218	0.0330928	0.28892	0.336815
AT1G18700	0.059013	-0.0538286	0.100036	0.130903	0.137261	0.185695
AT1G20760	0.158483	0.0405068	0.124769	0.126666	0.252566	0.261071
AT1G20970	0.117432	-0.0203802	0.286772	0.118332	0.214852	0.356346
AT1G21610	0.0529912	0.0560644	0.162384	0.0962616	0.260043	0.339283
AT1G22640	0.547115	0.286401	0.603706	0.612172	0.536673	0.829725
AT1G24560	0.0615056	0.080743	0.243354	0.0530821	0.114601	0.293556
AT1G29260	0.117064	0.0124538	0.128136	0.218513	0.0583796	0.355558
AT1G29800	0.16497	-0.000110141	0.221567	0.179057	0.0650211	0.3141
AT1G35620	0.0682598	0.0878758	0.157751	0.0744599	0.169805	0.434795
AT1G42540	0.106166	0.115339	0.137748	0.175214	0.0964242	0.354367
AT1G49300	0.0590875	0.165578	0.38945	0.314297	0.186206	0.454707
AT1G51690	0.113258	0.211076	0.207366	0.252818	0.148351	0.328048
AT1G51740	0.143034	0.137455	0.374973	0.221497	0.311642	0.532342
AT1G53050	0.0573786	-0.140645	0.0101466	-0.000154057	0.0201446	0.237151
AT1G16440	0.14637	0.225065	0.306398	0.0949223	0.251558	0.494255
AT1G54210	0.268278	0.108082	0.37068	0.174382	0.265184	0.569777
AT1G57765	-0.0693542	0.0713083	0.157329	0.0127865	0.167773	0.280685
AT1G60870	-0.0587202	-0.156201	0.0725945	0.0287458	-0.035419	0.245919
AT1G63110	0.0805306	-0.0380956	0.157291	0.181831	0.153975	0.309336
AT1G63900	-0.0365312	-0.0847707	0.161769	-0.00967077	0.0502701	0.170724
AT1G65280	0.0450785	0.0558053	0.144879	0.134304	0.141332	0.169879
AT1G68920	0.00627454	-0.0132994	0.202982	0.197436	0.173472	0.265394
AT1G70150	0.0751326	-0.0141339	0.176379	0.127218	0.127618	0.385281
AT1G70480	0.143657	-0.0106527	0.099859	0.0419188	0.150864	0.372705
AT1G71980	-0.016265	0.13772	0.178237	0.175176	0.138826	0.344823
AT1G78280	0.0694272	0.162428	0.203126	0.0850264	0.262788	0.331445
AT1G78890	0.0807268	0.127211	0.246221	0.223774	0.133544	0.476811
AT1G79590	-0.0884445	-0.142323	0.0967069	0.00912882	-0.0736713	0.243545
AT1G01930	0.0505301	-0.0790667	0.00371007	0.12609	0.130942	0.308487
AT1G04960	-0.0575813	0.0218142	0.185372	0.205911	-0.0148227	0.265277
AT1G06110	0.0158018	0.188623	0.273794	0.297907	0.260606	0.456077
AT1G07230	0.228678	0.41493	0.38891	0.467962	0.534898	0.606284
AT1G08510	0.0711601	0.0748932	0.3229	0.296543	0.153274	0.319193
AT1G11340	0.00453404	-0.190397	-0.0278518	-0.151743	-0.0455526	0.145629
AT1G11350	0.00453404	-0.190397	-0.0278518	-0.151743	-0.0455526	0.145629
AT1G11360	0.00453404	-0.190397	-0.0278518	-0.151743	-0.0455526	0.145629
AT1G14380	0.198445	0.0231106	0.248037	0.22847	0.234138	0.338656
AT1G14400	-0.0451476	0.053382	0.144844	0.0137467	0.051419	0.267601
AT1G17145	0.0815058	-0.0283575	0.0283246	0.0872456	0.108916	0.374956
AT1G21480	0.01364	-0.0139259	0.0107422	0.169207	0.0357506	0.321048
AT1G22310	-0.115012	-0.371322	0.0108396	-0.139197	-0.0994006	0.0478091
AT1G23260	0.108304	0.0632046	0.292293	0.155411	0.247463	0.288478
AT1G25682	0.0386675	0.119011	0.295474	0.194225	0.254147	0.433865
AT1G25988	0.0386675	0.119011	0.295474	0.194225	0.254147	0.433865
AT1G27090	0.0446856	-0.00279502	0.129613	0.155365	0.0935017	0.406305
AT1G27540	0.193771	0.0257615	0.270592	0.23486	0.220356	0.354258
AT1G27550	0.193771	0.0257615	0.270592	0.23486	0.220356	0.354258
AT1G32400	-0.0137436	0.045889	0.278776	0.155421	-0.0478687	0.254769
AT1G33490	-0.0280517	0.0954763	0.222927	0.288038	0.0197849	0.304374
AT1G47056	0.16646	0.0405281	0.476291	0.318087	0.31582	0.484342
AT1G48550	-0.0436653	-0.0406768	0.277652	0.173305	0.0185941	0.226323
AT1G48790	0.0266845	-0.00111775	0.133154	0.0328905	0.0372784	0.190605
AT1G50140	-0.093912	-0.182252	-0.10626	-0.131685	-0.101284	-0.068205
AT1G50640	0.35899	0.399285	0.638562	0.585098	0.598384	0.687322
AT1G52280	-0.00436757	0.0583351	0.202234	0.00200183	0.102246	0.300595
AT1G52290	-0.00436757	0.0583351	0.202234	0.00200183	0.102246	0.300595
